casting_processes,casting_size_from,casting_size_to,country,employees,metals,name,state,value_added_processes,zip
"Air-Set/Nobake,Centrifugal Casting,Gas-Hardened/Coldbox,Green Sand-Vertically Parted",1.0,1000.0,US,185.0,"Ductile Iron,Gray Iron",MCWANE CORP - AB&I FOUNDRY,CA,"Coating,Engineering and Design,Finish Machining,Painting,Patternmaking,Prototyping,Rough Machining",94621.0
"Air-Set/Nobake,Centrifugal Casting,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",1.0,350.0,Canada,500.0,"Ductile Iron,Gray Iron",MCWANE CORP - BIBBY STE-CROIX,Quebec,"Assembly,Coating,Engineering and Design,Finish Machining,Painting,Patternmaking,Rough Machining",0.0
Green Sand-Horizontally Parted,0.0,0.0,US,500.0,"Ductile Iron,Gray Iron,Red/Yellow Brass/Tin-Bronze",MCWANE CORP - CLOW VALVE CO,IA,,52577.0
,0.0,0.0,US,0.0,,MCWANE CORP - KENNEDY VALVE,NY,,14902.0
Green Sand-Vertically Parted,0.0,0.0,US,200.0,"Ductile Iron,Gray Iron",MCWANE CORP - M & H VALVE CO,AL,,36201.0
Centrifugal Casting,100.0,10000.0,US,250.0,"Ductile Iron,Gray Iron",MCWANE CORP - PACIFIC STATES CAST IRON PLANT,UT,,84606.0
"Centrifugal Casting,Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour",1.0,450.0,US,1000.0,Gray Iron,MCWANE CORP - TYLER PIPE INDUSTRIES INC,TX,"Assembly,Engineering and Design,Finish Machining,Painting,Rough Machining",75706.0
Centrifugal Casting,0.0,0.0,US,220.0,Ductile Iron,MCWANE DUCTILE - NEW JERSEY,NJ,"Engineering and Design,Heat Treat,Painting",8865.0
"Air-Set/Nobake,Centrifugal Casting,Green Sand-Horizontally Parted",0.0,0.0,US,382.0,"Abrasion Resistant Iron,Ductile Iron,Gray Iron",MCWANE DUCTILE - OHIO,OH,,43812.0
Green Sand-Horizontally Parted,0.0,0.0,US,110.0,"Ductile Iron,Gray Iron",MCWANE INC - CORPORATE OFFICE,AL,,35223.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",0.0,0.0,US,434.0,"Ductile Iron,Gray Iron",MCWANE INC - TYLER UNION,AL,"Assembly,Coating,Finish Machining,Painting,Patternmaking,Rough Machining",36201.0
"Air-Set/Nobake,Green Sand-Horizontally Parted",0.25,1200.0,US,39.0,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Aluminum Silicon (400 Series),High Copper Alloys,Mn/Al-Si Bronze + Cu-Ni Alloys,Other Aluminum,Red/Yellow Brass/Tin-Bronze,Zinc-Base",MELOON FOUNDRIES LLC,NY,"Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",13208.0
Green Sand-Vertically Parted,5.0,50.0,US,281.0,"Austempered Ductile Iron,Ductile Iron",METAL TECHNOLOGIES - AUBURN CASTING CENTER,IN,"Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Prototyping",46706.0
"Diecasting,Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Squeeze/Semisolid",0.0,80.0,US,1200.0,"Aluminum Silicon (300 Series),Aluminum Silicon (400 Series),Austempered Ductile Iron,Ductile Iron,Gray Iron",METAL TECHNOLOGIES - CORPORATE CENTER,IN,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",46706.0
"Diecasting,Squeeze/Semisolid",0.0,20.0,US,121.0,"Aluminum Silicon (300 Series),Aluminum Silicon (400 Series)",METAL TECHNOLOGIES - JACKSON DIE CASTING,TN,"Assembly,Coating,Finish Machining,Heat Treat,Painting,Prototyping,Rough Machining,Surface Treatments",38301.0
"Diecasting,Squeeze/Semisolid",0.0,20.0,US,116.0,"Aluminum Silicon (300 Series),Aluminum Silicon (400 Series)",METAL TECHNOLOGIES - MINNEAPOLIS DIE CASTING,MN,"Assembly,Coating,Finish Machining,Heat Treat,Painting,Prototyping,Rough Machining,Surface Treatments",55428.0
Green Sand-Vertically Parted,0.0,15.0,US,106.0,"Austempered Ductile Iron,Ductile Iron",METAL TECHNOLOGIES - NORTHERN FOUNDRY,MN,"Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Rough Machining",55746.0
Green Sand-Vertically Parted,1.0,40.0,US,226.0,"Austempered Ductile Iron,Ductile Iron",METAL TECHNOLOGIES - RAVENNA DUCTILE IRON,MI,"Coating,Finish Machining,Heat Treat,Painting,Prototyping",49451.0
"Gas-Hardened/Coldbox,Green Sand-Vertically Parted",1.0,80.0,US,179.0,Gray Iron,METAL TECHNOLOGIES - THREE RIVERS GRAY IRON,MI,"Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Prototyping",49093.0
"Air-Set/Nobake,Green Sand-Horizontally Parted",1.0,36000.0,US,250.0,"Abrasion Resistant Iron,Carbon Steel,Cobalt-Base,Corrosion Resistant Steel,Ductile Iron,Heat Resistant Steel,Manganese Steel,Nickel-Base,Other Cast Steel,Other Nonferrous,Superalloys,Zinc-Base",METALTEK INTERNATIONAL - CARONDELET CORP,MO,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Prototyping,Rough Machining",63070.0
"Air-Set/Nobake,Centrifugal Casting,Continuous,Green Sand-Horizontally Parted",1.0,9000.0,US,75.0,"High Copper Alloys,Mn/Al-Si Bronze + Cu-Ni Alloys,Nickel-Base,Other Copper-Base Alloys,Red/Yellow Brass/Tin-Bronze",METALTEK INTERNATIONAL - SOUTHERN CENTRIFUGAL,TN,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Prototyping,Rough Machining",37406.0
"Centrifugal Casting,Continuous",1.0,34000.0,US,550.0,"Abrasion Resistant Iron,Carbon Steel,Cobalt-Base,Corrosion Resistant Steel,Heat Resistant Steel,High Copper Alloys,Low Alloy Steel,Manganese Steel,Mn/Al-Si Bronze + Cu-Ni Alloys,Nickel-Base,Other Cast Steel,Other Copper-Base Alloys,Other Nonferrous,Red/Yellow Brass/Tin-Bronze,Superalloys",METALTEK INTERNATIONAL - WISCONSIN CENTRIFUGAL,WI,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Prototyping,Rough Machining",53188.0
Investment Casting,1.0,900.0,US,75.0,"Abrasion Resistant Iron,Carbon Steel,Cobalt-Base,Corrosion Resistant Steel,Ductile Iron,Heat Resistant Steel,High Copper Alloys,Manganese Steel,Mn/Al-Si Bronze + Cu-Ni Alloys,Nickel-Base,Other Cast Steel,Other Copper-Base Alloys,Other Nonferrous,Red/Yellow Brass/Tin-Bronze,Superalloys",METALTEK INTERNATIONAL - WISCONSIN INVESTCAST,WI,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Prototyping,Rough Machining",53094.0
"Air-Set/Nobake,Green Sand-Horizontally Parted",1.0,1650.0,US,53.0,"Austempered Ductile Iron,Corrosion Resistant Iron,Ductile Iron,Gray Iron,Heat Resistant Iron,Malleable Iron,Other Aluminum,Other Cast Irons",METLCAST PRODUCTS,KS,"Assembly,Coating,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining",67401.0
,0.0,0.0,US,0.0,,MIA MFG INC,TX,,77080.0
Green Sand-Horizontally Parted,1.0,100.0,US,0.0,"Ductile Iron,Gray Iron,Heat Resistant Iron,Other Cast Irons",MID CITY FOUNDRY CO,WI,"Finish Machining,Heat Treat,Painting,Rough Machining",53024.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0.5,2500.0,US,85.0,"Compacted Graphite Iron,Ductile Iron,Gray Iron",MID CITY FOUNDRY CO,WI,"Finish Machining,Heat Treat,Painting,Rough Machining",53204.0
"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0.0,250.0,US,40.0,"Mn/Al-Si Bronze + Cu-Ni Alloys,Other Copper-Base Alloys,Red/Yellow Brass/Tin-Bronze,Zinc-Base",MIDLAND MFG CO,TX,"Finish Machining,Rough Machining",76140.0
"Air-Set/Nobake,Lost Foam (EPC/Full Mold)",400.0,38000.0,US,90.0,"Ductile Iron,Gray Iron",MIDWEST MANUFACTURING & LOGISTICS,OH,"Engineering and Design,Heat Treat,Painting,Patternmaking",45865.0
"Air-Set/Nobake,Investment Casting",2.0,1200.0,US,80.0,"Carbon Steel,Cobalt-Base,Corrosion Resistant Steel,Gray Iron,Heat Resistant Steel,Low Alloy Steel,Manganese Steel,Nickel-Base,Other Cast Steel",MONETT METALS INC,MO,"Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Rough Machining",65708.0
"Green Sand-Vertically Parted,Lost Foam (EPC/Full Mold)",0.0,0.0,US,0.0,"Ductile Iron,Gray Iron,Lead",MUELLER CO,AL,,35950.0
Green Sand-Horizontally Parted,0.0,0.0,US,0.0,Ductile Iron,MUELLER CO,TN,,37406.0
Green Sand-Horizontally Parted,0.0,0.0,US,0.0,Red/Yellow Brass/Tin-Bronze,MUELLER CO,IL,,62526.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted,Shell Mold,Squeeze/Semisolid",0.0,2000.0,US,35.0,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Aluminum Silicon (400 Series),Other Aluminum,Red/Yellow Brass/Tin-Bronze",MULTI-CAST LLC,OH,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining",43567.0
"Air-Set/Nobake,Centrifugal Casting",0.0,0.0,US,6.0,"High Copper Alloys,Mn/Al-Si Bronze + Cu-Ni Alloys,Other Copper-Base Alloys,Red/Yellow Brass/Tin-Bronze",NAVAL FOUNDRY & PROPELLER CENTER,PA,,19112.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted,Shell Mold",10.0,2000.0,US,1000.0,"Ductile Iron,Gray Iron",NEENAH FOUNDRY CO,WI,"Engineering and Design,Finish Machining,Patternmaking,Prototyping,Rough Machining",54957.0
"Diecasting,Lost Foam (EPC/Full Mold)",0.0,0.0,US,942.0,"Aluminum Silicon (300 Series),Other Aluminum",NEMAK ALABAMA,AL,"Assembly,Coating,Engineering and Design,Heat Treat,Rough Machining",35150.0
"Air-Set/Nobake,Gas-Hardened/Coldbox",0.0,0.0,Canada,321.0,Aluminum Silicon (300 Series),NEMAK CANADA CORP,Ontario,"Engineering and Design,Heat Treat,Prototyping,Rough Machining,Surface Treatments",0.0
Diecasting,0.0,0.0,US,373.0,Aluminum Silicon (300 Series),NEMAK KENTUCKY,KY,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Rough Machining",42141.0
"Permanent Mold-Gravity/Tilt Pour,Permanent Mold-Low Pressure",0.0,0.0,Mexico,0.0,Aluminum Silicon (300 Series),NEMAK MONTERREY,Nuevo Leon,,66000.0
Air-Set/Nobake,0.0,0.0,Mexico,0.0,Other Aluminum,NEMAK SALTILLO,Coahuila,,25900.0
Permanent Mold-Gravity/Tilt Pour,0.0,0.0,US,444.0,Aluminum Silicon (300 Series),NEMAK TENNESSEE,TN,"Heat Treat,Rough Machining",37055.0
Diecasting,0.0,0.0,US,686.0,Aluminum Silicon (300 Series),NEMAK WISCONSIN - GATEWAY FACILITY,WI,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Rough Machining",53081.0
Diecasting,0.0,0.0,US,290.0,Aluminum Silicon (300 Series),NEMAK WISCONSIN - TAYLOR FACILITY,WI,"Assembly,Finish Machining,Heat Treat,Rough Machining",53082.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",1.0,250.0,US,75.0,,NEPTUNE TECHNOLOGY GROUP INC,AL,"Engineering and Design,Patternmaking",36078.0
Air-Set/Nobake,1.0,80000.0,US,140.0,"Carbon Steel,Corrosion Resistant Steel,Low Alloy Steel,Other Copper-Base Alloys",NEWPORT NEWS SHIPBUILDING,VA,,23607.0
,0.0,0.0,US,170.0,Gray Iron,NORTH VERNON INDUSTRY CORP,IN,,47265.0
"Air-Set/Nobake,Gas-Hardened/Coldbox",0.0,1500.0,US,36.0,"Abrasion Resistant Iron,Austempered Ductile Iron,Carbon Steel,Compacted Graphite Iron,Corrosion Resistant Iron,Corrosion Resistant Steel,Ductile Iron,Gray Iron,Heat Resistant Iron,Heat Resistant Steel,Low Alloy Steel,Manganese Steel",NORTHFIELD MANUFACTURING,MI,"Heat Treat,Painting,Patternmaking",48185.0
"Air-Set/Nobake,Green Sand-Horizontally Parted",0.0,100.0,US,25.0,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),High Copper Alloys,Mn/Al-Si Bronze + Cu-Ni Alloys,Other Aluminum,Other Copper-Base Alloys,Red/Yellow Brass/Tin-Bronze",O'HARE FOUNDRY CORP,MO,"Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining,Surface Treatments",63143.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",0.0,650.0,US,49.0,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series)",OLSON ALUMINUM CASTINGS,IL,"Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Prototyping",61104.0
"Air-Set/Nobake,Green Sand-Vertically Parted",0.0,0.0,US,100.0,"Abrasion Resistant Iron,Austempered Ductile Iron,Carbon Steel,Compacted Graphite Iron,Corrosion Resistant Iron,Corrosion Resistant Steel,Ductile Iron,Gray Iron,Heat Resistant Iron,Heat Resistant Steel,Low Alloy Steel,Malleable Iron,Other Cast Steel",PACIFIC ALLOY CASTING CO INC,CA,"Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining,Surface Treatments",90650.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted,Shell Mold",1.0,7000.0,US,550.0,"Carbon Steel,Low Alloy Steel",PACIFIC STEEL CASTING CO,CA,"Assembly,Engineering and Design,Heat Treat,Painting",94710.0
"Air-Set/Nobake,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",0.0,1500.0,US,73.0,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Magnesium,Other Aluminum",PALMER FOUNDRY INC,MA,"Engineering and Design,Finish Machining,Heat Treat,Rough Machining",1069.0
"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0.0,300.0,US,75.0,"Ductile Iron,Gray Iron",PENTAIR LTD,OH,"Engineering and Design,Painting,Patternmaking",44805.0
"Diecasting,Permanent Mold-Gravity/Tilt Pour,Shell Mold",0.0,10.0,US,24.0,"Aluminum Silicon (300 Series),Mn/Al-Si Bronze + Cu-Ni Alloys,Other Copper-Base Alloys,Red/Yellow Brass/Tin-Bronze,Zinc-Base",PERMA-CAST CO,CO,"Assembly,Coating,Engineering and Design,Finish Machining,Rough Machining",81006.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0.0,750.0,US,50.0,"Ductile Iron,Gray Iron",PICKERING METAL CASTING LLC,OK,Patternmaking,74127.0
"Air-Set/Nobake,Green Sand-Horizontally Parted,Permanent Mold-Low Pressure",0.0,0.0,US,39.0,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Zinc-Base",PIQUA EMERY FOUNDRY INC,OH,Heat Treat,45356.0
"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted,Squeeze/Semisolid",0.5,150.0,US,49.0,"Austempered Ductile Iron,Ductile Iron,Gray Iron,Other Cast Irons",PLYMOUTH FOUNDRY INC,IN,"Assembly,Coating,Finish Machining,Heat Treat,Painting,Prototyping,Rough Machining,Surface Treatments",46563.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Permanent Mold-Gravity/Tilt Pour",1.0,200.0,US,80.0,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series)",PRECISION ENTERPRISES INC,IL,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Prototyping,Surface Treatments",60552.0
"Investment Casting,Shell Mold",1.0,20.0,US,100.0,"Corrosion Resistant Steel,Mn/Al-Si Bronze + Cu-Ni Alloys",PRECISION PROPELLER INDUSTRIES INC,IN,"Engineering and Design,Finish Machining,Patternmaking,Rough Machining",46218.0
"Permanent Mold-Gravity/Tilt Pour,Permanent Mold-Low Pressure",1.0,140.0,US,160.0,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Aluminum Silicon (400 Series)",PREMIER ALUMINUM LLC - DIV OF LIGON INDUSTRIES LLC,WI,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",53403.0
"Air-Set/Nobake,Gas-Hardened/Coldbox",2.0,14500.0,US,50.0,"Carbon Steel,Corrosion Resistant Steel,Heat Resistant Steel,Low Alloy Steel,Nickel-Base,Other Cast Steel,Other Copper-Base Alloys",PRL INDUSTRIES INC,PA,"Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Prototyping,Rough Machining,Surface Treatments",17016.0
"Air-Set/Nobake,Investment Casting,Plaster Mold",0.0,150.0,US,36.0,"Aluminum Silicon (300 Series),Corrosion Resistant Steel,Ductile Iron,Gray Iron,Magnesium,Red/Yellow Brass/Tin-Bronze,Zinc-Base",PROTOTYPE CASTING INC,CO,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",80239.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",10.0,650.0,US,360.0,"Austempered Ductile Iron,Compacted Graphite Iron,Ductile Iron,Gray Iron",QUALITY CASTINGS CO,OH,"Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining",44667.0
Green Sand-Vertically Parted,0.0,25.0,Mexico,250.0,Gray Iron,RASSINI FRENOS SA DE CV,Puebla,"Assembly,Engineering and Design,Finish Machining,Painting,Patternmaking,Rough Machining",74179.0
"Air-Set/Nobake,Gas-Hardened/Coldbox",3.0,7000.0,US,12.0,"Carbon Steel,Corrosion Resistant Steel,Heat Resistant Steel,High Copper Alloys,Low Alloy Steel,Nickel-Base,Other Cast Steel",REGAL CAST INC,PA,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Rough Machining,Surface Treatments",17046.0
"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted,Lost Foam (EPC/Full Mold),Shell Mold",5.0,150.0,US,160.0,"Austempered Ductile Iron,Ductile Iron,Heat Resistant Iron,Other Cast Irons",RENAISSANCE MANUFACTURING GROUP - WAUKESHA LLC,WI,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining",53187.0
Diecasting,0.0,8.0,US,40.0,"Aluminum Silicon (300 Series),Red/Yellow Brass/Tin-Bronze",RHEOCAST CO,WI,"Assembly,Engineering and Design,Finish Machining,Painting,Patternmaking,Rough Machining",53022.0
Green Sand-Horizontally Parted,1.0,75.0,US,36.0,"Austempered Ductile Iron,Ductile Iron,Gray Iron",RICHMOND CASTING CO INC,IN,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining",47374.0
"Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",0.75,40.0,US,350.0,"Ductile Iron,Gray Iron",ROCHESTER METAL PRODUCTS CORP,IN,"Coating,Heat Treat,Painting,Prototyping",46975.0
"Air-Set/Nobake,Centrifugal Casting,Gas-Hardened/Coldbox",0.0,5000.0,US,75.0,"Abrasion Resistant Iron,Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Carbon Steel,Compacted Graphite Iron,Corrosion Resistant Iron,Corrosion Resistant Steel,Ductile Iron,Gray Iron,Heat Resistant Iron,Heat Resistant Steel,Low Alloy Steel,Manganese Steel,Mn/Al-Si Bronze + Cu-Ni Alloys,Other Cast Steel,Red/Yellow Brass/Tin-Bronze,Titanium",ROCK ISLAND ARSENAL,IL,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",61299.0
"Air-Set/Nobake,Green Sand-Horizontally Parted",0.0,150.0,US,12.0,Other Aluminum,ROCKFORD FOUNDRIES INC,IL,"Heat Treat,Patternmaking",61101.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0.0,100.0,US,31.0,Gray Iron,ROLOFF MFG CORP,WI,"Heat Treat,Painting,Patternmaking,Prototyping",54130.0
Green Sand-Horizontally Parted,0.0,0.0,US,0.0,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),High Copper Alloys,Red/Yellow Brass/Tin-Bronze",ROMAN MANUFACTURING / QUALITY BRASS,MI,,49509.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted,Lost Foam (EPC/Full Mold)",0.25,250.0,US,40.0,"Austempered Ductile Iron,Ductile Iron,Gray Iron,Other Cast Irons",SENECA FOUNDRY INC,IA,"Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining",50595.0
"Permanent Mold-Low Pressure,Squeeze/Semisolid",4.0,100.0,US,143.0,Aluminum Silicon (300 Series),SHIPSTON ALUMINUM TECHNOLOGIES (INDIANA) INC,IN,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Prototyping,Rough Machining",46131.0
Permanent Mold-Low Pressure,4.0,100.0,US,288.0,Aluminum Silicon (300 Series),SHIPSTON ALUMINUM TECHNOLOGIES (MICHIGAN) INC,MI,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Prototyping,Rough Machining",49415.0
"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0.0,20.0,US,149.0,Red/Yellow Brass/Tin-Bronze,SLOAN VALVE CO,AR,"Finish Machining,Patternmaking,Rough Machining",72006.0
"Air-Set/Nobake,Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour",1.0,25.0,US,16.0,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),High Copper Alloys,Magnesium,Red/Yellow Brass/Tin-Bronze,Zinc-Base",SMG-HARSON LLC,NY,"Assembly,Finish Machining,Rough Machining",14070.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Vertically Parted",0.5,275.0,US,70.0,"Austempered Ductile Iron,Ductile Iron,Gray Iron",SMITH FOUNDRY CO,MN,"Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",55407.0
"Air-Set/Nobake,Centrifugal Casting,Green Sand-Vertically Parted,Green Sand-Horizontally Parted,Investment Casting",1.0,15000.0,US,30.0,"Austempered Ductile Iron,Carbon Steel,Ductile Iron,Gray Iron,Low Alloy Steel,Mn/Al-Si Bronze + Cu-Ni Alloys,Other Cast Steel,Red/Yellow Brass/Tin-Bronze",SOUTHLAND METALS INC,AR,"Coating,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining,Surface Treatments",72113.0
"Air-Set/Nobake,Gas-Hardened/Coldbox",10.0,5000.0,US,250.0,"Carbon Steel,Corrosion Resistant Steel,Heat Resistant Steel,Low Alloy Steel,Other Cast Steel",SOUTHWEST STEEL CASTING CO,TX,"Assembly,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining",75604.0
"Air-Set/Nobake,Green Sand-Horizontally Parted,Squeeze/Semisolid",1.0,250.0,US,30.0,"Austempered Ductile Iron,Ductile Iron,Gray Iron,Heat Resistant Iron",SPECIALTY CASTINGS LLC,MI,"Finish Machining,Heat Treat,Painting,Rough Machining",49284.0
"Air-Set/Nobake,Green Sand-Horizontally Parted",100.0,1500.0,US,115.0,"Aluminum Silicon (300 Series),Ductile Iron,Gray Iron",SPRING CITY ELECTRICAL MFG CO,PA,"Assembly,Engineering and Design,Finish Machining,Painting,Patternmaking,Rough Machining,Surface Treatments",19475.0
"Gas-Hardened/Coldbox,Permanent Mold-Gravity/Tilt Pour",2.0,250.0,US,400.0,Aluminum Silicon (300 Series),STAHL SPECIALTY CO - DIV OF LIGON INDUSTRIES LLC,MO,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",64061.0
"Gas-Hardened/Coldbox,Permanent Mold-Gravity/Tilt Pour",2.0,250.0,US,475.0,Aluminum Silicon (300 Series),STAHL SPECIALTY CO - DIV OF LIGON INDUSTRIES LLC,MO,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Rough Machining,Surface Treatments",64093.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Investment Casting",5.0,10000.0,US,0.0,"Abrasion Resistant Iron,Aluminum Silicon (300 Series),Aluminum Silicon (400 Series),Austempered Ductile Iron,Carbon Steel,Cobalt-Base,Corrosion Resistant Iron,Corrosion Resistant Steel,Ductile Iron,Gray Iron,Heat Resistant Iron,Heat Resistant Steel,Low Alloy Steel,Manganese Steel,Mn/Al-Si Bronze + Cu-Ni Alloys,Nickel-Base,Red/Yellow Brass/Tin-Bronze",STANDARD ALLOYS & MFG,TX,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Rough Machining",77640.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0.0,200.0,US,12.0,Aluminum Silicon (300 Series),SUPERIOR ALUMINUM CASTINGS INC,MO,"Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining",64057.0
"Air-Set/Nobake,Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour",0.25,300.0,US,30.0,"Aluminum Copper (200 Series),Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),High Copper Alloys,Mn/Al-Si Bronze + Cu-Ni Alloys,Other Aluminum,Red/Yellow Brass/Tin-Bronze",TAMPA BRASS & ALUMINUM CORP,FL,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining",33634.0
Green Sand-Horizontally Parted,0.0,0.0,US,30.0,Gray Iron,TAYLOR FOUNDRY CO - MEADOR PRODUCTS INC,TX,"Assembly,Finish Machining,Painting,Patternmaking,Rough Machining",76307.0
Permanent Mold-Low Pressure,0.0,0.0,Canada,0.0,Other Aluminum,THE AWC COMPANY,Ontario,,0.0
"Air-Set/Nobake,Gas-Hardened/Coldbox",0.0,70.0,US,45.0,"Abrasion Resistant Iron,Carbon Steel,Corrosion Resistant Iron,Gray Iron,Manganese Steel",TONKAWA FOUNDRY INC,OK,"Heat Treat,Patternmaking",74653.0
"Gas-Hardened/Coldbox,Green Sand-Vertically Parted",1.0,400.0,US,99.0,"Abrasion Resistant Iron,Austempered Ductile Iron,Ductile Iron,Gray Iron",TORRANCE CASTING INC,WI,"Painting,Patternmaking",54603.0
Air-Set/Nobake,100.0,30000.0,US,70.0,Nickel-Base,TOWNLEY FOUNDRY & MACHINE COMPANY INC,FL,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",32111.0
"Permanent Mold-Gravity/Tilt Pour,V-Process Sand",0.0,80.0,US,55.0,Aluminum Silicon (300 Series),TPI ARCADE - DIV OF LIGON INDUSTRIES LLC,NY,"Engineering and Design,Heat Treat",14009.0
Green Sand-Vertically Parted,0.0,50.0,US,170.0,Ductile Iron,TYCO FIRE PROTECTION PRODUCTS,AL,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Rough Machining",36206.0
"Air-Set/Nobake,Green Sand-Horizontally Parted",5.0,4000.0,US,150.0,"Ductile Iron,Gray Iron",U S FOUNDRY & MFG CO,FL,"Engineering and Design,Patternmaking",33166.0
