Address,Casting Processes,Casting Size (From),Casting Size (To),City,Country,Employees,Fax,Metals,Name,Phone,State,Value Added Processes,Website,Zip
515 E 29th St N,"Air-Set/Nobake,Green Sand-Horizontally Parted,Shell Mold",0.1,100,Wichita,US,,(316) 838-5094,"Austempered Ductile Iron,Ductile Iron,Gray Iron",FERROLOY INC,(316) 838-0897,KS,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.ferroloy.com,67219
12 E Town St,Air-Set/Nobake,10,7500,West Jefferson,US,50,(614) 879-7965,"Carbon Steel,Corrosion Resistant Steel,Heat Resistant Steel,Low Alloy Steel,Nickel-Base,Superalloys",FISHER CAST STEEL PRODUCTS INC,(614) 879-8325,OH,"Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.fishercaststeel.com,43162
1160 Elizabeth Ave,"Air-Set/Nobake,Green Sand-Horizontally Parted",0,75,Lancaster,US,19,(717) 397-0456,Red/Yellow Brass/Tin-Bronze,FLURY FOUNDRY CO,(717) 397-9080,PA,,http://www.fluryfoundry.com,17601
500 W 11th St,"Air-Set/Nobake,Green Sand-Horizontally Parted",0,50,Auburn,US,21,(260) 925-4115,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series)",FOLEY PATTERN CO INC,(260) 925-4113,IN,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Prototyping,Rough Machining",,46706
2001 Talbot Blvd,Air-Set/Nobake,200,15000,Chicoutimi,Canada,55,(418) 545-8161,"Compacted Graphite Iron,Ductile Iron,Other Cast Irons",FONDERIE SAGUENAY,(418) 545-8181,Quebec,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.foundry-sag.com,G7H 5B5
775 Manchester Ave,Green Sand-Horizontally Parted,1,100,Wabash,US,250,,Red/Yellow Brass/Tin-Bronze,FORD METER BOX CO INC,(260) 563-3171,IN,"Assembly,Engineering and Design,Finish Machining,Painting,Patternmaking,Rough Machining,Surface Treatments",http://www.fordmeterbox.com,46992
146 Tommie Dr,Green Sand-Horizontally Parted,0,50,Thorsby,US,50,(205) 646-2061,Ductile Iron,FRANKLIN IRON WORKS INC,(205) 646-2851,AL,"Assembly,Engineering and Design,Heat Treat,Patternmaking",http://www.tommiecorp.com,35171-0729
7736 E Springfield Ave,"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0,300,Selma,US,265,(559) 834-2017,"Mn/Al-Si Bronze + Cu-Ni Alloys,Other Copper-Base Alloys,Red/Yellow Brass/Tin-Bronze",FRESNO VALVES & CASTINGS INC,(800) 333-1658,CA,"Assembly,Engineering and Design,Finish Machining,Painting,Patternmaking,Prototyping,Rough Machining",http://www.fresnovalves.com,93662
416 Pond St,"Green Sand-Horizontally Parted,Shell Mold,Squeeze/Semisolid",0,90,Woonsocket,US,8,(401) 769-6816,"Aluminum Silicon (300 Series),Other Aluminum",FRIENDS FOUNDRY INC,(401) 769-0160,RI,,,02895
940 Avenue C,"Air-Set/Nobake,Green Sand-Horizontally Parted",0,65,Galesburg,US,50,(309) 343-7598,"Austempered Ductile Iron,Ductile Iron,Gray Iron",GALESBURG CASTINGS INC,(309) 343-6178,IL,"Engineering and Design,Finish Machining,Heat Treat,Painting,Prototyping,Rough Machining",http://www.galesburgcastings.com,61402
1390 Business Center Pl,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted,Investment Casting,Permanent Mold-Gravity/Tilt Pour,Permanent Mold-Low Pressure,Plaster Mold,Shell Mold",0.25,500,San Leandro,US,70,(510) 614-2171,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Other Aluminum,Zinc-Base",GENERAL FOUNDRY SERVICE,(510) 297-5040,CA,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.genfoundry.com,94577-2212
Av Industria Automotriz S/N,Green Sand-Horizontally Parted,,,Toluca,Mexico,,52 (722) 279-2167,"Ductile Iron,Gray Iron",GENERAL MOTORS DE MEXICO SA DE CV,52 (722) 279-2158,Estado de Mexico,,http://www.gm.com.mx,50070
105 GM Drive,"Diecasting,Permanent Mold-Gravity/Tilt Pour",,,Bedford,US,675,(812) 279-7181,Aluminum Silicon (300 Series),GENERAL MOTORS POWERTRAIN CORP - BEDFORD PLANT,(812) 279-7203,IN,"Engineering and Design,Patternmaking",http://www.gm.com,47421
26427 State Route 281,Green Sand-Horizontally Parted,,,Defiance,US,1216,,"Aluminum Silicon (300 Series),Ductile Iron,Gray Iron",GENERAL MOTORS POWERTRAIN CORP - GM POWERTRAIN GROUP,(419) 784-7271,OH,"Engineering and Design,Patternmaking",http://www.gm.com,43512
1629 N Washington Ave,"Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour",,,Saginaw,US,628,,Aluminum Silicon (300 Series),GENERAL MOTORS POWERTRAIN CORP - SAGINAW METALCASTING OPERATIONS,(989) 757-1801,MI,"Engineering and Design,Patternmaking",http://www.gm.com,48601-1211
600 12th St,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",5,800,Columbus,US,300,(706) 596-2850,"Austempered Ductile Iron,Ductile Iron,Gray Iron",GOLDENS FOUNDRY & MACHINE CO,(706) 323-0471,GA,"Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Rough Machining",http://www.gfmco.com,31901
402 George Mathews Dr,,10,150,Cordele,US,,,"Ductile Iron,Gray Iron",GOLDENS FOUNDRY & MACHINE CO,(229) 276-1607,GA,,http://www.gfmco.com,31015
1201 Colorado St,Shell Mold,0.01,80,Salem,US,47,(540) 765-1220,"Aluminum Silicon (300 Series),Austempered Ductile Iron,Ductile Iron,Gray Iron,Red/Yellow Brass/Tin-Bronze",GRAHAM WHITE MFG,(540) 387-5600,VA,Patternmaking,http://www.grahamwhite.com,24153
800 N Washington Ave,"Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",0.5,50,Ludington,US,225,(231) 843-7501,Gray Iron,GREAT LAKES CASTINGS LLC,(231) 843-2501,MI,"Heat Treat,Patternmaking",http://www.greatlakescastings.com,49431
118 Koomler Dr,Shell Mold,0,50,La Porte,US,,(219) 324-6329,"Abrasion Resistant Iron,Austempered Ductile Iron,Ductile Iron,Gray Iron",HILER INDUSTRIES,(219) 362-8531,IN,"Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining,Surface Treatments",http://www.hilerindustries.com,46352
4084 US Highway 61,Air-Set/Nobake,1,700,St Francisville,US,9,(225) 635-4584,"Abrasion Resistant Iron,Carbon Steel,Cobalt-Base,Corrosion Resistant Iron,Corrosion Resistant Steel,Gray Iron,Heat Resistant Iron,Heat Resistant Steel,Low Alloy Steel,Nickel-Base,Superalloys",HOWELL FOUNDRY LLC,(225) 635-2278,LA,Heat Treat,http://www.howellfoundry.com,70776
3823 Massachusetts Ave,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",2,1000,Indianapolis,US,45,(317) 546-4004,"Ductile Iron,Gray Iron",INTERSTATE CASTINGS,(317) 546-2427,IN,"Engineering and Design,Patternmaking",http://www.iscastings.com,46218
831 Progress Ave,Air-Set/Nobake,1,200,Waukesha,US,110,,"Abrasion Resistant Iron,Carbon Steel,Corrosion Resistant Iron,Corrosion Resistant Steel,Heat Resistant Steel,Low Alloy Steel,Manganese Steel,Nickel-Base,Other Cast Steel",J & L PRECISION CASTINGS,(262) 547-6886,WI,"Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping",http://www.jlcastings.com,53186-5926
101 Ironwood Rd,"Air-Set/Nobake,Green Sand-Horizontally Parted",5,2500,Middlesboro,US,36,(606) 248-6308,"Ductile Iron,Gray Iron,Heat Resistant Iron",J R HOE & SONS,(800) 245-5521,KY,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Prototyping,Rough Machining",http://www.jrhoe.com,40965
411 E Chestnut St,"Air-Set/Nobake,Green Sand-Horizontally Parted",0,100,Lancaster,US,55,(717) 392-6620,"Mn/Al-Si Bronze + Cu-Ni Alloys,Red/Yellow Brass/Tin-Bronze",J WALTER MILLER CO,(717) 392-7428,PA,"Assembly,Engineering and Design,Finish Machining,Patternmaking,Prototyping,Rough Machining",http://www.jwaltermiller.com,17602
508 Industrial Rd,"Air-Set/Nobake,Green Sand-Horizontally Parted",0,60,Belle Plaine,US,55,(620) 488-3901,"Abrasion Resistant Iron,Austempered Ductile Iron,Ductile Iron,Gray Iron,Heat Resistant Iron",KANSAS CASTINGS INC,(620) 488-2282,KS,"Coating,Finish Machining,Heat Treat,Patternmaking,Rough Machining",,67013
Railroad Ave & Tenth St,"Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour",,,Elkins,US,30,(304) 636-0395,"Ductile Iron,Gray Iron,Mn/Al-Si Bronze + Cu-Ni Alloys",KELLY FOUNDRY & MACHINE CO,(304) 636-0390,WV,Patternmaking,,26241
125 Rowell St,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0,60,Bearer Dam,US,100,(920) 885-3691,"Ductile Iron,Gray Iron,Malleable Iron",KIRSH FOUNDRY INC,(920) 887-0395,WI,"Engineering and Design,Heat Treat,Painting,Patternmaking,Prototyping",http://www.kirshfoundry.com,53916
444 Highland Dr,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",1,180,Kohler,US,250,(920) 459-1838,"Austempered Ductile Iron,Ductile Iron,Gray Iron",KOHLER CO,(920) 457-4441,WI,"Engineering and Design,Finish Machining,Patternmaking,Rough Machining,Surface Treatments",http://www.kohlerindustrialcastings.com,53044
1906 W Miles Ave,Permanent Mold-Gravity/Tilt Pour,0,60,Hayden,US,40,(208) 772-9148,Aluminum Silicon (300 Series),L A ALUMINUM CASTING CO,(208) 772-3201,ID,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining,Surface Treatments",http://www.laaluminum.com,83835
5655 State Route 981,"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0,60,Latrobe,US,16,(724) 537-0482,Aluminum Silicon (300 Series),LATROBE FOUNDRY MACHINE & SUPPLY CO,(724) 537-3341,PA,"Finish Machining,Patternmaking,Rough Machining",http://www.latrobefoundry.com,15650
1800 Golden Springs Rd,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted,Shell Mold",,,Anniston,US,,(800) 876-1800,"Mn/Al-Si Bronze + Cu-Ni Alloys,Other Copper-Base Alloys,Red/Yellow Brass/Tin-Bronze",LEE BRASS CO,(800) 876-1811,AL,"Assembly,Engineering and Design,Finish Machining,Patternmaking,Rough Machining",http://www.leebrass.com,36202
100 S Commerce St,Green Sand-Horizontally Parted,0,80,Galena,US,33,(815) 777-3240,Gray Iron,LEMFCO INC,(815) 777-0242,IL,"Finish Machining,Rough Machining",http://www.lemfco.com,61036-0316
720 32nd St N,"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",1,500,Lethbridge,Canada,120,(403) 327-1131,"Abrasion Resistant Iron,Austempered Ductile Iron,Ductile Iron,Other Cast Irons",LETHBRIDGE IRON WORKS CO LTD,(403) 329-4242,Alberta,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.lethiron.com,T1H 5K5
204 E 5th St,Green Sand-Vertically Parted,1,25,South Pittsburg,US,270,(423) 837-8198,Gray Iron,LODGE MFG CO,(423) 837-7180,TN,,http://www.lodgemfg.com,37380
2007 N Major Avenue,"Air-Set/Nobake,Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour,Squeeze/Semisolid",0.25,225,Chicago,US,90,(773) 237-7706,"Aluminum Copper (200 Series),Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Aluminum Silicon (400 Series),Gray Iron,High Copper Alloys,Mn/Al-Si Bronze + Cu-Ni Alloys,Other Aluminum,Other Copper-Base Alloys,Red/Yellow Brass/Tin-Bronze,Zinc-Base",LOUIS MESKAN FOUNDRY INC,(773) 237-9231,IL,"Assembly,Coating,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.meskan.com,60639
19430 63rd Avenue NE,Air-Set/Nobake,25,10000,Arlington,US,30,(360) 435-8261,"Abrasion Resistant Iron,Carbon Steel,Compacted Graphite Iron,Corrosion Resistant Iron,Corrosion Resistant Steel,Ductile Iron,Gray Iron,Heat Resistant Iron,Heat Resistant Steel,Low Alloy Steel,Malleable Iron,Manganese Steel",MACKENZIE CASTINGS LLC,(800) 780-5530,WA,"Finish Machining,Heat Treat,Patternmaking,Rough Machining",http://www.mackenziecastings.com,98223
1315 W Liberty Ave,"Air-Set/Nobake,Gas-Hardened/Coldbox",1,1200,Pittsburgh,US,150,(412) 571-5514,"Aluminum Silicon (300 Series),Red/Yellow Brass/Tin-Bronze",MATTHEWS INTERNATIONAL CORP,(412) 571-5500,PA,,http://www.matthewsbronze.com,15226
454 W 600 N,"Air-Set/Nobake,Gas-Hardened/Coldbox,Shell Mold",1,6000,Salt Lake City,US,50,(801) 521-0641,"Abrasion Resistant Iron,Carbon Steel,Corrosion Resistant Iron,Corrosion Resistant Steel,Ductile Iron,Gray Iron,Heat Resistant Iron,Heat Resistant Steel,Low Alloy Steel,Other Cast Steel",MAY FOUNDRY & MACHINE CO,(801) 531-8931,UT,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.mayfoundry.com,84103
89 N Jane St,"Air-Set/Nobake,Centrifugal Casting,Continuous,Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",1,1800,McHenry,US,16,(270) 274-9244,"Aluminum Silicon (300 Series),Mn/Al-Si Bronze + Cu-Ni Alloys,Red/Yellow Brass/Tin-Bronze",MCHENRY BRASS INC,(270) 274-9651,KY,"Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Rough Machining",http://www.mchenrybrass.com,42354-0156
7825 San Leandro St,"Air-Set/Nobake,Centrifugal Casting,Gas-Hardened/Coldbox,Green Sand-Vertically Parted",1,1000,Oakland,US,185,(510) 632-8035,"Ductile Iron,Gray Iron",MCWANE CORP - AB&I FOUNDRY,(510) 632-3467,CA,"Coating,Engineering and Design,Finish Machining,Painting,Patternmaking,Prototyping,Rough Machining",http://www.mcwane.com,94621-2515
6200 Principal Road,"Air-Set/Nobake,Centrifugal Casting,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",1,350,Ste.-Croix,Canada,500,(418) 926-2430,"Ductile Iron,Gray Iron",MCWANE CORP - BIBBY STE-CROIX,(418) 926-3262,Quebec,"Assembly,Coating,Engineering and Design,Finish Machining,Painting,Patternmaking,Rough Machining",http://www.bibby-ste-croix.com,G0S 2H0
902 S 2nd St,Green Sand-Horizontally Parted,,,Oskaloosa,US,500,(641) 673-8269,"Ductile Iron,Gray Iron,Red/Yellow Brass/Tin-Bronze",MCWANE CORP - CLOW VALVE CO,(800) 829-2569,IA,,http://www.mcwane.com,52577
1021 East Water Street,,,,Elmira,US,,(800) 952-4771,,MCWANE CORP - KENNEDY VALVE,(607) 734-2211,NY,,http://www.kennedyvalve.com,14902
605 W 23rd St,Green Sand-Vertically Parted,,,Anniston,US,200,(888) 549-5309,"Ductile Iron,Gray Iron",MCWANE CORP - M & H VALVE CO,(256) 237-3521,AL,,http://www.mcwane.com,36201
2550 S Industrial Pkwy,Centrifugal Casting,100,10000,Provo,US,250,(801) 377-0338,"Ductile Iron,Gray Iron",MCWANE CORP - PACIFIC STATES CAST IRON PLANT,(801) 373-6910,UT,,http://www.mcwane.com,84606-6272
11910 CR 492,"Centrifugal Casting,Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour",1,450,Tyler,US,1000,(800) 248-9537,Gray Iron,MCWANE CORP - TYLER PIPE INDUSTRIES INC,(903) 882-5511,TX,"Assembly,Engineering and Design,Finish Machining,Painting,Rough Machining",http://www.mcwane.com,75706
183 Sitgreaves St,Centrifugal Casting,,,Philipsburg,US,220,(908) 454-1026,Ductile Iron,MCWANE DUCTILE - NEW JERSEY,(908) 454-1161,NJ,"Engineering and Design,Heat Treat,Painting",http://www.mcwane.com,08865-3052
2266 S Sixth St,"Air-Set/Nobake,Centrifugal Casting,Green Sand-Horizontally Parted",,,Coshocton,US,382,(740) 622-7129,"Abrasion Resistant Iron,Ductile Iron,Gray Iron",MCWANE DUCTILE - OHIO,(740) 622-6651,OH,,http://www.mcwaneductile.com,43812
2900 Highway 2805 Ste 250,Green Sand-Horizontally Parted,,,Birmingham,US,110,(205) 578-3897,"Ductile Iron,Gray Iron",MCWANE INC - CORPORATE OFFICE,(205) 578-3800,AL,,http://www.mcwane.com,35223
1501 W 17th Street,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",,,Anniston,US,434,(256) 240-4288,"Ductile Iron,Gray Iron",MCWANE INC - TYLER UNION,(256) 236-7601,AL,"Assembly,Coating,Finish Machining,Painting,Patternmaking,Rough Machining",http://www.mcwane.com,36201
1841 LeMoyne Ave,"Air-Set/Nobake,Green Sand-Horizontally Parted",0.25,1200,Syracuse,US,39,(315) 454-8559,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Aluminum Silicon (400 Series),High Copper Alloys,Mn/Al-Si Bronze + Cu-Ni Alloys,Other Aluminum,Red/Yellow Brass/Tin-Bronze,Zinc-Base",MELOON FOUNDRIES LLC,(315) 454-3231,NY,"Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.meloon.com,13208
1537 W Auburn Dr,Green Sand-Vertically Parted,5,50,Auburn,US,281,(260) 920-2149,"Austempered Ductile Iron,Ductile Iron",METAL TECHNOLOGIES - AUBURN CASTING CENTER,(260) 920-2122,IN,"Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Prototyping",http://www.metal-technologies.com,46706
1401 South Grandstaff Drive,"Diecasting,Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Squeeze/Semisolid",0,80,Auburn,US,1200,(260) 925-4737,"Aluminum Silicon (300 Series),Aluminum Silicon (400 Series),Austempered Ductile Iron,Ductile Iron,Gray Iron",METAL TECHNOLOGIES - CORPORATE CENTER,(260) 925-4717,IN,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.metal-technologies.com,46706
825 Lower Brownsville Rd,"Diecasting,Squeeze/Semisolid",0,20,Jackson,US,121,(260) 920-2149,"Aluminum Silicon (300 Series),Aluminum Silicon (400 Series)",METAL TECHNOLOGIES - JACKSON DIE CASTING,(260) 920-2134,TN,"Assembly,Coating,Finish Machining,Heat Treat,Painting,Prototyping,Rough Machining,Surface Treatments",http://www.metal-technologies.com,38301
5100 Boone Ave N,"Diecasting,Squeeze/Semisolid",0,20,New Hope,US,116,(260) 920-2149,"Aluminum Silicon (300 Series),Aluminum Silicon (400 Series)",METAL TECHNOLOGIES - MINNEAPOLIS DIE CASTING,(260) 920-2134,MN,"Assembly,Coating,Finish Machining,Heat Treat,Painting,Prototyping,Rough Machining,Surface Treatments",http://www.metal-technologies.com,55428
555 W 25th St,Green Sand-Vertically Parted,0,15,Hibbing,US,106,(260) 920-2149,"Austempered Ductile Iron,Ductile Iron",METAL TECHNOLOGIES - NORTHERN FOUNDRY,(260) 920-2122,MN,"Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Rough Machining",http://www.metal-technologies.com,55746
3800 Adams Rd,Green Sand-Vertically Parted,1,40,Ravenna,US,226,(260) 920-2149,"Austempered Ductile Iron,Ductile Iron",METAL TECHNOLOGIES - RAVENNA DUCTILE IRON,(260) 920-2122,MI,"Coating,Finish Machining,Heat Treat,Painting,Prototyping",http://www.metal-technologies.com,49451
429 4th St,"Gas-Hardened/Coldbox,Green Sand-Vertically Parted",1,80,Three Rivers,US,179,(260) 920-2149,Gray Iron,METAL TECHNOLOGIES - THREE RIVERS GRAY IRON,(260) 920-2122,MI,"Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Prototyping",http://www.metal-technologies.com,49093
8600 Commercial Blvd,"Air-Set/Nobake,Green Sand-Horizontally Parted",1,36000,Pevely,US,250,(636) 479-3399,"Abrasion Resistant Iron,Carbon Steel,Cobalt-Base,Corrosion Resistant Steel,Ductile Iron,Heat Resistant Steel,Manganese Steel,Nickel-Base,Other Cast Steel,Other Nonferrous,Superalloys,Zinc-Base",METALTEK INTERNATIONAL - CARONDELET CORP,(636) 479-4499,MO,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Prototyping,Rough Machining",http://www.metaltek.com,63070
4180 South Creek Road,"Air-Set/Nobake,Centrifugal Casting,Continuous,Green Sand-Horizontally Parted",1,9000,Chattanooga,US,75,(423) 622-2227,"High Copper Alloys,Mn/Al-Si Bronze + Cu-Ni Alloys,Nickel-Base,Other Copper-Base Alloys,Red/Yellow Brass/Tin-Bronze",METALTEK INTERNATIONAL - SOUTHERN CENTRIFUGAL,(423) 622-4131,TN,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Prototyping,Rough Machining",http://www.metaltek.com,37406
905 E St Paul Ave,"Centrifugal Casting,Continuous",1,34000,Waukesha,US,550,(262) 544-7843,"Abrasion Resistant Iron,Carbon Steel,Cobalt-Base,Corrosion Resistant Steel,Heat Resistant Steel,High Copper Alloys,Low Alloy Steel,Manganese Steel,Mn/Al-Si Bronze + Cu-Ni Alloys,Nickel-Base,Other Cast Steel,Other Copper-Base Alloys,Other Nonferrous,Red/Yellow Brass/Tin-Bronze,Superalloys",METALTEK INTERNATIONAL - WISCONSIN CENTRIFUGAL,(262) 544-7700,WI,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Prototyping,Rough Machining",http://www.metaltek.com,53188
661 S 12th St,Investment Casting,1,900,Watertown,US,75,(920) 261-5663,"Abrasion Resistant Iron,Carbon Steel,Cobalt-Base,Corrosion Resistant Steel,Ductile Iron,Heat Resistant Steel,High Copper Alloys,Manganese Steel,Mn/Al-Si Bronze + Cu-Ni Alloys,Nickel-Base,Other Cast Steel,Other Copper-Base Alloys,Other Nonferrous,Red/Yellow Brass/Tin-Bronze,Superalloys",METALTEK INTERNATIONAL - WISCONSIN INVESTCAST,(920) 261-2114,WI,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Prototyping,Rough Machining",http://www.metaltek.com,53094
401 E Avenue B,"Air-Set/Nobake,Green Sand-Horizontally Parted",1,1650,Salina,US,53,(785) 827-0361,"Austempered Ductile Iron,Corrosion Resistant Iron,Ductile Iron,Gray Iron,Heat Resistant Iron,Malleable Iron,Other Aluminum,Other Cast Irons",METLCAST PRODUCTS,(785) 827-0361,KS,"Assembly,Coating,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining",http://www.metlcast.com,67401
2134 Ojeman Rd,,,,Houston,US,,(713) 464-2089,,MIA MFG INC,(713) 467-0869,TX,,,77080
460 9th Ave,Green Sand-Horizontally Parted,1,100,Grafton,US,,(262) 377-8721,"Ductile Iron,Gray Iron,Heat Resistant Iron,Other Cast Irons",MID CITY FOUNDRY CO,(262) 377-5110,WI,"Finish Machining,Heat Treat,Painting,Rough Machining",http://www.midcityfoundry.com,53024
1521 W Bruce St,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0.5,2500,Milwaukee,US,85,(414) 645-7640,"Compacted Graphite Iron,Ductile Iron,Gray Iron",MID CITY FOUNDRY CO,(414) 645-0840,WI,"Finish Machining,Heat Treat,Painting,Rough Machining",http://www.midcityfoundry.com,53204
4800 Esco Dr,"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0,250,Fort Worth,US,40,(817) 483-9815,"Mn/Al-Si Bronze + Cu-Ni Alloys,Other Copper-Base Alloys,Red/Yellow Brass/Tin-Bronze,Zinc-Base",MIDLAND MFG CO,(817) 478-4848,TX,"Finish Machining,Rough Machining",http://www.midland-midco.com,76140
240 W 5th St,"Air-Set/Nobake,Lost Foam (EPC/Full Mold)",400,38000,Minster,US,90,(419) 628-6002,"Ductile Iron,Gray Iron",MIDWEST MANUFACTURING & LOGISTICS,(419) 628-2331,OH,"Engineering and Design,Heat Treat,Painting,Patternmaking",http://www.midwestmanufacturingandlogistics.com,45865
101 Industrial Drive,"Air-Set/Nobake,Investment Casting",2,1200,Monett,US,80,(417) 235-8224,"Carbon Steel,Cobalt-Base,Corrosion Resistant Steel,Gray Iron,Heat Resistant Steel,Low Alloy Steel,Manganese Steel,Nickel-Base,Other Cast Steel",MONETT METALS INC,(417) 235-6053,MO,"Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Rough Machining",http://www.monettmetals.com,65708
956 Industrial Blvd,"Green Sand-Vertically Parted,Lost Foam (EPC/Full Mold)",,,Albertville,US,,(256) 891-2466,"Ductile Iron,Gray Iron,Lead",MUELLER CO,(256) 891-7930,AL,,http://www.muellercompany.com,35950
1401 Mueller Ave,Green Sand-Horizontally Parted,,,Chattanooga,US,,(423) 624-6784,Ductile Iron,MUELLER CO,(423) 624-8811,TN,,http://www.muellercompany.com,37406-6139
1226 E Garfield Ave,Green Sand-Horizontally Parted,,,Decatur,US,,(217) 425-7537,Red/Yellow Brass/Tin-Bronze,MUELLER CO,(217) 425-7463,IL,,http://www.muellercompany.com,62526
225 E Linfoot St,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted,Shell Mold,Squeeze/Semisolid",0,2000,Wauseon,US,35,(419) 337-4263,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Aluminum Silicon (400 Series),Other Aluminum,Red/Yellow Brass/Tin-Bronze",MULTI-CAST LLC,(419) 335-0010,OH,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining",http://www.multi-cast.com,43567
1811 Kitty Hawk Ave Bldg 592,"Air-Set/Nobake,Centrifugal Casting",,,Philadelphia,US,6,,"High Copper Alloys,Mn/Al-Si Bronze + Cu-Ni Alloys,Other Copper-Base Alloys,Red/Yellow Brass/Tin-Bronze",NAVAL FOUNDRY & PROPELLER CENTER,(215) 897-3446,PA,,http://www.nnsy1.navy.mil,19112
2121 Brooks Ave,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted,Shell Mold",10,2000,Neenah,US,1000,(920) 729-3661,"Ductile Iron,Gray Iron",NEENAH FOUNDRY CO,(920) 725-7000,WI,"Engineering and Design,Finish Machining,Patternmaking,Prototyping,Rough Machining",http://www.nfco.com,54957
2100 Old Sylacauga Hwy,"Diecasting,Lost Foam (EPC/Full Mold)",,,Sylacauga,US,942,(256) 207-2987,"Aluminum Silicon (300 Series),Other Aluminum",NEMAK ALABAMA,(256) 401-2600,AL,"Assembly,Coating,Engineering and Design,Heat Treat,Rough Machining",http://www.nemak.com,35150
4600 G N Booth Dr,"Air-Set/Nobake,Gas-Hardened/Coldbox",,,Windsor,Canada,321,(519) 250-2526,Aluminum Silicon (300 Series),NEMAK CANADA CORP,(519) 250-2500,Ontario,"Engineering and Design,Heat Treat,Prototyping,Rough Machining,Surface Treatments",http://www.nemak.com,N9C 4G8
